Model Params: 25.83M
Trainable Params: 25.830M
Epoch:[1/5](4500/14720), loss: 2.7569, logits_loss: 2.7569, aux_loss: 0.0000, lr: 0.00049586, epoch_time: 14.0min
Epoch:[1/5](4600/14720), loss: 2.7373, logits_loss: 2.7373, aux_loss: 0.0000, lr: 0.00049568, epoch_time: 14.0min
Epoch:[1/5](4700/14720), loss: 2.6793, logits_loss: 2.6793, aux_loss: 0.0000, lr: 0.00049549, epoch_time: 14.0min
Epoch:[1/5](4800/14720), loss: 2.6754, logits_loss: 2.6754, aux_loss: 0.0000, lr: 0.00049529, epoch_time: 14.0min
Epoch:[1/5](4900/14720), loss: 2.8697, logits_loss: 2.8697, aux_loss: 0.0000, lr: 0.00049510, epoch_time: 14.0min
Epoch:[1/5](5000/14720), loss: 2.6034, logits_loss: 2.6034, aux_loss: 0.0000, lr: 0.00049490, epoch_time: 14.0min
Epoch:[1/5](5100/14720), loss: 2.7257, logits_loss: 2.7257, aux_loss: 0.0000, lr: 0.00049469, epoch_time: 13.0min
Epoch:[1/5](5200/14720), loss: 2.8372, logits_loss: 2.8372, aux_loss: 0.0000, lr: 0.00049448, epoch_time: 13.0min
Epoch:[1/5](5300/14720), loss: 2.7183, logits_loss: 2.7183, aux_loss: 0.0000, lr: 0.00049427, epoch_time: 13.0min
Epoch:[1/5](5400/14720), loss: 2.7313, logits_loss: 2.7313, aux_loss: 0.0000, lr: 0.00049405, epoch_time: 13.0min
Epoch:[1/5](5500/14720), loss: 2.7471, logits_loss: 2.7471, aux_loss: 0.0000, lr: 0.00049383, epoch_time: 13.0min
Epoch:[1/5](5600/14720), loss: 2.7085, logits_loss: 2.7085, aux_loss: 0.0000, lr: 0.00049360, epoch_time: 13.0min
Epoch:[1/5](5700/14720), loss: 2.7246, logits_loss: 2.7246, aux_loss: 0.0000, lr: 0.00049337, epoch_time: 13.0min
Epoch:[1/5](5800/14720), loss: 2.7205, logits_loss: 2.7205, aux_loss: 0.0000, lr: 0.00049314, epoch_time: 12.0min
Epoch:[1/5](5900/14720), loss: 2.5445, logits_loss: 2.5445, aux_loss: 0.0000, lr: 0.00049290, epoch_time: 12.0min
Epoch:[1/5](6000/14720), loss: 2.8314, logits_loss: 2.8314, aux_loss: 0.0000, lr: 0.00049266, epoch_time: 12.0min
Epoch:[1/5](6100/14720), loss: 2.7289, logits_loss: 2.7289, aux_loss: 0.0000, lr: 0.00049242, epoch_time: 12.0min
Epoch:[1/5](6200/14720), loss: 2.7731, logits_loss: 2.7731, aux_loss: 0.0000, lr: 0.00049217, epoch_time: 12.0min
Epoch:[1/5](6300/14720), loss: 2.4139, logits_loss: 2.4139, aux_loss: 0.0000, lr: 0.00049191, epoch_time: 12.0min
Epoch:[1/5](6400/14720), loss: 2.5243, logits_loss: 2.5243, aux_loss: 0.0000, lr: 0.00049166, epoch_time: 12.0min
Epoch:[1/5](6500/14720), loss: 2.4822, logits_loss: 2.4822, aux_loss: 0.0000, lr: 0.00049140, epoch_time: 11.0min
Epoch:[1/5](6600/14720), loss: 2.5252, logits_loss: 2.5252, aux_loss: 0.0000, lr: 0.00049113, epoch_time: 11.0min
Epoch:[1/5](6700/14720), loss: 2.5108, logits_loss: 2.5108, aux_loss: 0.0000, lr: 0.00049086, epoch_time: 11.0min
Epoch:[1/5](6800/14720), loss: 2.5144, logits_loss: 2.5144, aux_loss: 0.0000, lr: 0.00049059, epoch_time: 11.0min
Epoch:[1/5](6900/14720), loss: 2.4877, logits_loss: 2.4877, aux_loss: 0.0000, lr: 0.00049031, epoch_time: 11.0min
Epoch:[1/5](7000/14720), loss: 2.5791, logits_loss: 2.5791, aux_loss: 0.0000, lr: 0.00049003, epoch_time: 11.0min
Epoch:[1/5](7100/14720), loss: 2.4750, logits_loss: 2.4750, aux_loss: 0.0000, lr: 0.00048975, epoch_time: 11.0min
Epoch:[1/5](7200/14720), loss: 2.7364, logits_loss: 2.7364, aux_loss: 0.0000, lr: 0.00048946, epoch_time: 11.0min
